time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average,trend
1600041600,3.2002,4.91,3.2002,3.2661,4788171,,,,,,,,,-1
1600128000,3.2629,3.3258,2.9001,2.9332,4318305,,,,,,,,,-1
1600214400,2.9299,2.9299,2.4316,2.5395,5698128,,,,,,,,,1
1600300800,2.54,2.936,2.3569,2.8855,6499338,,,,,,,,,1
1600387200,2.8821,3.15,2.724,3.108,6310796,,,,,,,,,-1
1600473600,3.108,3.2509,2.955,3.0193,5004414,,,,,,,,,-1
1600560000,3.0159,3.0173,2.6876,2.8635,4430783,,,,,,,,,-1
1600646400,2.8567,3.03,2.4576,2.7539,6299704,,,,,,,,,1
1600732800,2.7544,3.01,2.6094,2.9183,8942906,,,,,,,,,-1
1600819200,2.9196,3.0935,2.6863,2.8313,7291781,,,,,,,,,1
1600905600,2.835,3.2538,2.7607,3.1392,6564611,,,,,,,,,1
1600992000,3.1314,3.2698,2.898,3.1821,5925744,,,,,,,,,-1
1601078400,3.1871,3.249,3.017,3.1262,5033808,,,,,,,,,1
1601164800,3.1275,3.1883,2.977,3.1617,4684139,,,,,,,,,-1
1601251200,3.1596,3.2116,2.8909,2.9564,4954686,43.922922962207146,,,,,,,,-1
1601337600,2.956,3.0207,2.874,2.9517,4430934,43.83584756154512,,,,,,,,-1
1601424000,2.95,2.989,2.8285,2.9004,3951833,42.83761053098129,,,,,,,,-1
1601510400,2.9008,2.9968,2.6546,2.8701,4852685,42.22597334106798,,,,,,,,-1
1601596800,2.8694,2.8851,2.4224,2.6236,5582857,37.53114767823961,,,,,,,,-1
1601683200,2.6271,2.6689,2.5326,2.5454,4150340,36.15769088695556,,,,3.328598148583863,2.92877,2.5289418514161373,,-1
1601769600,2.5447,2.5909,2.4266,2.5236,4641666,35.76476292953707,,,,3.297136955407257,2.891645,2.486153044592743,,1
1601856000,2.5244,2.677,2.4561,2.6495,4421463,39.831405736741765,,,,3.295790426337838,2.87746,2.459129573662162,,-1
1601942400,2.6517,2.661,2.1346,2.1732,5435007,31.6642410289864,,,,3.3591566257648355,2.8591450000000003,2.359133374235165,,1
1602028800,2.1725,2.4,2.0854,2.3027,6627417,35.5345578396322,,,,3.385344858014892,2.830005,2.274665141985108,,1
1602115200,2.3036,2.4629,2.0117,2.3716,8385420,37.56079373397306,,,,3.3672497115961715,2.7931850000000003,2.219120288403829,,1
1602201600,2.3717,2.6289,2.3101,2.5363,6662396,42.23479094375245,-0.2329400142904978,,,3.343656427637368,2.769035,2.1944135723626315,,-1
1602288000,2.5356,2.611,2.3907,2.407,5487486,39.72093630495748,-0.2294730649080896,,,3.339956581969106,2.74621,2.152463418030894,,1
1602374400,2.4065,2.4609,2.3378,2.4257,4904544,40.27461338683612,-0.2226499784699283,,,3.3397109410397543,2.7298,2.1198890589602457,,1
1602460800,2.4269,2.7096,2.4171,2.5825,6382872,44.84899717025021,-0.2022586716768395,,,3.319719772131623,2.71301,2.106300227868376,,-1
1602547200,2.582,2.5889,2.3355,2.4048,6883812,41.01507581340293,-0.1981531330591561,,,3.3101329776828416,2.691685,2.0732370223171586,,-1
1602633600,2.4053,2.4464,2.2337,2.3087,4990767,39.06992327110838,-0.200344484477676,,,3.2541982153473388,2.65016,2.0461217846526614,,-1
1602720000,2.3102,2.3443,2.1928,2.267,4524474,38.2228317095776,-0.2031047229454321,,,3.1782153954269154,2.6044050000000003,2.030594604573085,,-1
1602806400,2.2668,2.2708,2.103,2.1404,5792357,35.69266516422279,-0.2130518645034125,,,3.110224428040988,2.555115,2.000005571959013,,1
1602892800,2.1401,2.2425,2.11,2.2062,4136722,37.990206875032975,-0.2131682647040707,-0.2127937998927892,-0.0003744648112814,3.0071158873735264,2.50734,2.007564112626474,,1
1602979200,2.2069,2.2649,2.1804,2.2186,3907591,38.43658823229781,-0.2098410196794686,-0.2122032438501251,0.0023622241706564,2.940211247869584,2.4704500000000005,2.0006887521304173,,-1
1603065600,2.2167,2.2206,2.051,2.0578,4834438,34.925531606069384,-0.2176702035527351,-0.2132966357906471,-0.004373567762088,2.8734387610412,2.425755,1.9780712389588004,,-1
1603152000,2.0576,2.1083,1.8457,1.8905,6052367,31.682799093461867,-0.2346694763474284,-0.2175712039020033,-0.017098272445425,2.8252197510889188,2.37526,1.9253002489110809,,1
1603238400,1.8885,2.1098,1.8474,1.8933,10108189,31.79693407484069,-0.2450903370686559,-0.2230750305353339,-0.022015306533322,2.7627755412734,2.32642,1.8900644587266,,1
1603324800,1.8933,2.0905,1.8629,1.9619,6143069,34.67638503330929,-0.2449894121400606,-0.2274579068562792,-0.0175315052837813,2.7348544957190404,2.293335,1.85181550428096,,1
1603411200,1.962,1.9938,1.8502,1.9645,5454719,34.78875808502663,-0.2419110303624991,-0.2303485315575232,-0.0115624988049759,2.71204457071927,2.26429,1.8165354292807296,,-1
1603497600,1.9666,1.9734,1.88,1.9196,4059055,33.710278372039525,-0.2403241383104215,-0.2323436529081029,-0.0079804854023186,2.689227231612618,2.23409,1.7789527683873827,,-1
1603584000,1.9179,1.9281,1.7628,1.7937,5740317,30.8246810948971,-0.2463854150410114,-0.2351520053346846,-0.0112334097063268,2.6430759843108045,2.1913,1.7395240156891951,,-1
1603670400,1.7946,1.8723,1.6162,1.6786,6534261,28.428795293209404,-0.2575082339605212,-0.2396232510598519,-0.0178849829006693,2.670714804991578,2.16657,1.662425195008422,,1
1603756800,1.6777,1.7542,1.5928,1.7135,7047936,30.200353918981136,-0.2605040808751171,-0.2437994170229049,-0.0167046638522121,2.673802302534685,2.1371100000000007,1.6004176974653164,,-1
1603843200,1.7131,1.7287,1.4555,1.5196,10242140,26.30464334070008,-0.2753503531771499,-0.2501096042537539,-0.025240748923396,2.682766912921548,2.0945100000000005,1.5062530870784532,,-1
1603929600,1.5195,1.5773,1.4146,1.4325,6341465,24.759591162500897,-0.2907923003861252,-0.2582461434802282,-0.032546156905897,2.657768234212042,2.0393200000000005,1.4208717657879588,,1
1604016000,1.4321,1.4677,1.3379,1.4378,7038014,25.04808455247772,-0.2991540276822042,-0.2664277203206234,-0.0327263073615807,2.6377079555506016,1.9908600000000003,1.344012044449399,,1
1604102400,1.4367,1.5501,1.4269,1.5472,5962596,30.934763609212467,-0.293569010291016,-0.271855978314702,-0.021713031976314,2.588997558556401,1.9469350000000003,1.3048724414436002,,1
1604188800,1.5474,1.6465,1.5132,1.6076,5514776,34.016037575107575,-0.2810295350097032,-0.2736906896537022,-0.0073388453560009,2.485540920319348,1.8981900000000007,1.3108390796806533,,-1
1604275200,1.6062,1.6426,1.4644,1.4741,5293427,30.75051822520895,-0.2786521166552875,-0.2746829750540193,-0.0039691416012682,2.418187263776733,1.8516550000000005,1.2851227362232678,2.399708,-1
1604361600,1.4729,1.4857,1.4109,1.4131,5470217,29.363416301536773,-0.2784800411165826,-0.2754423882665319,-0.0030376528500506,2.3633153683234984,1.8068750000000005,1.2504346316765025,2.362648,-1
