time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average,Bids Volume,Asks Volume,ATR,ADX,DI+,DI-
1585555200,6238.5,6386,6238.5,6358.5,2390.749,54.492542625294966,-165.9502342650876,NaN,NaN,6715.984932698985,6254.625,5793.265067301015,NaN,NaN,NaN,161.023710905817,31.198691255561155,26.256408868950484,25.740271590508573
1585569600,6358.5,6430.5,6274,6336,2775.888,53.40390616260432,-140.7709313350988,NaN,NaN,6652.027931791453,6236.325,5820.622068208547,NaN,NaN,NaN,160.70058869825866,29.32012033059543,26.40857146471446,23.942046590940908
1585584000,6336,6399.5,6306,6364.5,2277.881,54.64003999240867,-117.16582583342642,NaN,NaN,6606.29194617462,6223.675,5841.058053825381,NaN,NaN,NaN,155.90054664838303,27.575733043127254,25.272611614498917,22.912183855062217
1585598400,6364.5,6577.5,6363,6389.5,2784.317,55.74900751790816,-95.34227222575191,-177.23560786803603,81.89333564228411,6558.201083500151,6212.1,5865.99891649985,NaN,NaN,NaN,160.08622188778423,27.00685858162739,30.81651556593141,20.711168632221398
1585612800,6389.5,6509.5,6381.5,6435,2473.019,57.77248227052576,-73.52789521431714,-156.49406533729226,82.96617012297511,6500.934846428309,6201.075,5901.21515357169,NaN,NaN,NaN,157.79434889579966,26.478618010234662,29.02470640528678,19.506929249495833
1585627200,6435,6470.5,6373,6437,2412.171,57.863690610367364,-55.439390202916,-136.283130310417,80.84374010750099,6515.550550833299,6205.225,5894.899449166702,NaN,NaN,NaN,153.48760968895684,25.915528963052438,27.703350391285053,19.015758585743292
1585641600,6437,6497.5,6339.5,6386.5,2457.707,54.65369392441046,-44.66418667315247,-117.95934158296409,73.29515490981161,6535.874699542801,6218.65,5901.425300457198,NaN,NaN,NaN,153.8099232826028,25.09785298569358,25.664340756708555,19.176708480779126
1585656000,6386.5,6494.5,6323.5,6445,3233.361,57.58882771553652,-31.046415398573117,-100.57675634608589,69.53034094751277,6563.4222653780325,6232.025,5900.627734621967,NaN,NaN,NaN,155.03778590527403,24.194798658558454,23.63667196156887,18.4008586755931
1585670400,6445,6479.5,6397.5,6454.5,2548.355,58.06353968311597,-19.26558131850561,-84.31452134056983,65.04894002206422,6588.487474432577,6243.2,5897.912525567423,NaN,NaN,NaN,149.82080119775446,23.356248211932982,22.71008109493524,17.679519071830665
1585684800,6454.5,6490,6388.5,6405,2586.874,54.63219139644992,-13.76475027208744,-70.20456712687334,56.4398168547859,6604.923206161947,6253.025,5901.126793838052,NaN,NaN,NaN,146.36931539791485,22.660182994124852,22.096008020489013,16.801533301178537
