time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average
1624939200,33.795,33.9,33.345,33.48,3718.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624953600,33.48,34.495,33.285,34.285,18928.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624968000,34.285,35.77,34.21,35.25,19729.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624982400,35.25,35.705,34.55,34.81,23846.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624996800,34.81,34.935,33.665,33.96,23047.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625011200,33.96,34.23,32.14,32.245,28486.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625025600,32.245,33.67,31.815,33.48,28659.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625040000,33.48,33.74,32.1,33.05,24026.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625054400,33.05,33.27,31.585,31.81,21708.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625068800,31.81,34.445,31.64,34.275,27445.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625083200,34.275,35.995,33.935,35.485,27144.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625097600,35.485,35.53,33.63,33.78,24073.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625112000,33.78,34.935,32.385,32.435,21716.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625126400,32.435,34.33,32.195,34.195,18749.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625140800,34.195,34.32,32.895,33.465,31784.3,49.95560816809709,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625155200,33.465,34.21,33.095,33.67,23698.4,50.60111008741378,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625169600,33.67,34.235,33.18,33.3,29273.9,49.36350897191818,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625184000,33.3,33.99,31.96,32.16,23609.1,45.65817777470101,NaN,NaN,NaN,NaN,NaN,NaN,NaN
